District.Type,District.Number,math19,reading19,name19.x,math22,reading22,name22.x,math25,reading25,name25.x,math_perc_19_22,math_perc_pt_19_22,math_perc_22_25,math_perc_pt_22_25,math_perc_19_25,math_perc_pt_19_25,reading_perc_19_22,reading_perc_pt_19_22,reading_perc_22_25,reading_perc_pt_22_25,reading_perc_19_25,reading_perc_pt_19_25,name19.y,enrollment19,perc_white19,perc_frp19,name22.y,enrollment22,perc_white22,perc_frp22,name25.y,enrollment25,perc_white25,perc_frp25
1,362,58.89,61.36,Littlefork-Big Falls School Dist.,50,49.41,Littlefork-Big Falls School Dist.,36.65,35.57,Littlefork-Big Falls School District,-0.150959416,-8.89,-0.267,-13.35,-0.377653252,-22.24,-0.194752282,-11.95,-0.280105242,-13.84,-0.420306389,-25.79,Littlefork-Big Falls School District,327,89.91%,35.78%,Littlefork-Big Falls School Dist.,338,90.24%,27.51%,Littlefork-Big Falls School District,402,90.30%,42.79%
1,363,44.94,48.47,South Koochiching School District,25.31,40.24,South Koochiching School District,21.51,37.14,South Koochiching School District,-0.436804628,-19.63,-0.150138285,-3.8,-0.521361816,-23.43,-0.16979575,-8.23,-0.077037773,-3.1,-0.233752837,-11.33,South Koochiching School District,287,82.23%,49.48%,South Koochiching School District,284,79.23%,45.77%,South Koochiching School District,203,66.50%,61.58%
1,378,59.16,64.67,Dawson-Boyd Public School District,41.87,56.49,Dawson-Boyd Public School District,40.34,53.06,Dawson-Boyd Public School District,-0.292258283,-17.29,-0.036541677,-1.53,-0.318120352,-18.82,-0.126488325,-8.18,-0.060718711,-3.43,-0.179526829,-11.61,Dawson-Boyd Public School District,568,87.32%,36.80%,Dawson-Boyd Public School District,557,86.00%,30.88%,Dawson-Boyd Public School District,566,82.86%,38.16%
1,381,57.62,61.62,Lake Superior Public School Dist.,35.31,44.13,Lake Superior Public School District,34.56,43.11,Lake Superior Public School District,-0.387191947,-22.31,-0.021240442,-0.75,-0.400208261,-23.06,-0.283836417,-17.49,-0.023113528,-1.02,-0.300389484,-18.51,Lake Superior Public School District,1391,95.40%,26.02%,Lake Superior Public School Dist.,1336,94.24%,20.88%,Lake Superior Public School District,1286,91.84%,33.59%
1,390,39.41,48.25,Lake of The Woods School District,28.57,38.12,Lake of the Woods School District,29.02,38.64,Lake of the Woods School District,-0.275057092,-10.84,0.015750788,0.45,-0.26363867,-10.39,-0.209948187,-10.13,0.013641133,0.52,-0.199170984,-9.61,Lake of the Woods School District,477,85.95%,42.14%,Lake of The Woods School District,473,86.05%,21.99%,Lake of The Woods School District,462,82.25%,34.42%
1,391,55.76,66.79,Cleveland Public School District,49.28,58.8,Cleveland Public School District,48.43,53.58,Cleveland Public School District,-0.116212339,-6.48,-0.017248377,-0.85,-0.131456241,-7.33,-0.119628687,-7.99,-0.08877551,-5.22,-0.197784099,-13.21,Cleveland Public School District,524,91.03%,25.57%,Cleveland Public School District,559,92.49%,13.42%,Cleveland Public School District,650,89.69%,20.77%
1,402,57.89,71.43,Hendricks Public School District,43.33,48.57,Hendricks Public School District,42.19,48.48,Hendricks Public School District,-0.251511487,-14.56,-0.026309716,-1.14,-0.271204008,-15.7,-0.320033599,-22.86,-0.001852996,-0.09,-0.321293574,-22.95,Hendricks Public School District,138,89.13%,31.16%,Hendricks Public School District,166,84.34%,30.12%,Hendricks Public School District,244,81.15%,45.90%
1,403,67.35,55.1,Ivanhoe Public School District,69.57,64.44,Ivanhoe Public School District,63.89,72.22,Ivanhoe Public School District,0.032962138,2.22,-0.081644387,-5.68,-0.051373422,-3.46,0.169509982,9.34,0.120732464,7.78,0.310707804,17.12,Ivanhoe Public School District,91,95.60%,37.36%,Ivanhoe Public School District,83,97.59%,20.48%,Ivanhoe Public School District,71,94.37%,22.54%
1,404,68.29,78.05,Lake Benton Public School District,63.93,67.21,Lake Benton Public School District,75.51,73.47,Lake Benton Public School District,-0.063845365,-4.36,0.181135617,11.58,0.105725582,7.22,-0.13888533,-10.84,0.093140902,6.26,-0.058680333,-4.58,Lake Benton Public School District,144,94.44%,33.33%,Lake Benton Public School District,120,95.00%,30.00%,Lake Benton Public School District,102,93.14%,37.25%
1,413,59.48,58.96,Marshall Public School District,46.02,46.52,Marshall Public School District,47,45.19,Marshall Public School District,-0.226294553,-13.46,0.021295089,0.98,-0.209818426,-12.48,-0.210990502,-12.44,-0.028589854,-1.33,-0.233548168,-13.77,Marshall Public School District,2625,61.64%,46.02%,Marshall Public School District,2662,59.54%,42.52%,Marshall Public School District,2664,53.04%,53.49%
1,414,70.57,74.16,Minneota Public School District,60.43,61.51,Minneota Public School District,62.11,67.25,Minneota Public School District,-0.143687119,-10.14,0.027800761,1.68,-0.119880969,-8.46,-0.170577131,-12.65,0.09331816,5.74,-0.093176915,-6.91,Minneota Public School District,530,89.62%,28.30%,Minneota Public School District,520,90.00%,15.77%,Minneota Public School District,554,89.71%,25.45%
1,415,31.08,39.19,Lynd Public School District,25.58,35.96,Lynd Public School District,17.02,39.36,Lynd Public School District,-0.176962677,-5.5,-0.334636435,-8.56,-0.452380952,-14.06,-0.082418984,-3.23,0.094549499,3.4,0.004337841,0.17,Lynd Public School District,180,61.11%,59.44%,Lynd Public School District,164,65.24%,55.49%,Lynd Public School District,175,56.57%,56.57%
1,423,65.64,66.27,Hutchinson Public School District,56.11,57.57,Hutchinson Public School District,55.06,54.78,Hutchinson Public School District,-0.145185862,-9.53,-0.018713242,-1.05,-0.161182206,-10.58,-0.131281123,-8.7,-0.048462741,-2.79,-0.173381621,-11.49,Hutchinson Public School District,2944,86.01%,28.09%,Hutchinson Public School District,2756,82.98%,23.15%,Hutchinson Public School District,2722,80.75%,32.73%
1,424,51.95,55.39,Lester Prairie Public School Dist.,46.99,45.79,Lester Prairie Public School Dist.,44.62,34.82,Lester Prairie Public School District,-0.09547642,-4.96,-0.050436263,-2.37,-0.141097209,-7.33,-0.173316483,-9.6,-0.239571959,-10.97,-0.371366673,-20.57,Lester Prairie Public School District,434,78.34%,30.18%,Lester Prairie Public School Dist.,471,74.10%,21.23%,Lester Prairie Public School District,435,73.56%,31.72%
1,432,32.08,33.33,Mahnomen Public School District,20.29,20.44,Mahnomen Public School District,16.46,23.8,Mahnomen Public School District,-0.367518703,-11.79,-0.188762937,-3.83,-0.486907731,-15.62,-0.386738674,-12.89,0.164383562,3.36,-0.285928593,-9.53,Mahnomen Public School District,642,15.42%,79.75%,Mahnomen Public School District,701,12.84%,67.05%,Mahnomen Public School District,674,7.57%,76.56%
1,435,32.23,41.97,Waubun-Ogema-White Earth Public Sch,27.54,33.73,Waubun-Ogema-White Earth Schools,23.81,32.66,Waubun-Ogema-White Earth Schools,-0.145516599,-4.69,-0.135439361,-3.73,-0.261247285,-8.42,-0.196330712,-8.24,-0.031722502,-1.07,-0.221825113,-9.31,Waubun-Ogema-White Earth Public Schools,697,19.23%,68.72%,Waubun-Ogema-White Earth Schools,699,16.02%,64.23%,Waubun-Ogema-White Earth Schools,727,15.27%,63.69%
1,441,49.79,62.65,Marshall County Central Schools,42.19,54.84,Marshall County Central Schools,38.84,53.7,Marshall County Central Schools,-0.152641093,-7.6,-0.079402702,-3.35,-0.219923679,-10.95,-0.124660814,-7.81,-0.020787746,-1.14,-0.142857143,-8.95,Marshall County Central Schools,427,95.78%,33.96%,Marshall County Central Schools,440,94.77%,25.68%,Marshall County Central Schools,463,93.09%,38.66%
1,447,70.67,51.28,Grygla Public School District,47.22,40.54,Grygla Public School District,42.42,35.62,Grygla Public School District,-0.331823971,-23.45,-0.101651842,-4.8,-0.399745295,-28.25,-0.209438378,-10.74,-0.121361618,-4.92,-0.305382215,-15.66,Grygla Public School District,149,95.30%,46.98%,Grygla Public School District,134,92.54%,32.09%,Grygla Public School District,135,87.41%,37.78%
1,458,34.34,56,Truman Public School District,30.77,37.5,Truman Public School District,31.82,35.78,Truman Public School District,-0.103960396,-3.57,0.034124147,1.05,-0.073383809,-2.52,-0.330357143,-18.5,-0.045866667,-1.72,-0.361071429,-20.22,Truman Public School District,216,91.67%,62.04%,Truman Public School District,253,88.54%,54.55%,Truman Public School District,229,86.03%,56.33%
1,463,71.01,68.28,Eden Valley-Watkins School District,52.97,49.69,Eden Valley-Watkins School District,59.11,52.09,Eden Valley-Watkins School District,-0.254048726,-18.04,0.115914669,6.14,-0.167582031,-11.9,-0.272261277,-18.59,0.048299457,2.4,-0.237111892,-16.19,Eden Valley-Watkins School District,971,93.61%,31.51%,Eden Valley-Watkins School District,926,93.74%,22.46%,Eden Valley-Watkins School District,868,92.86%,27.19%
1,465,58.86,65.23,Litchfield Public School District,55.38,49.81,Litchfield Public School District,51.13,51.86,Litchfield Public School District,-0.059123344,-3.48,-0.076742506,-4.25,-0.131328576,-7.73,-0.236394297,-15.42,0.041156394,2.05,-0.20496704,-13.37,Litchfield Public School District,1578,86.88%,35.30%,Litchfield Public School District,1527,84.54%,31.11%,Litchfield Public School District,1566,81.35%,39.78%
1,466,70.53,72.82,Dassel-Cokato Public School Dist.,63.29,68.3,Dassel-Cokato Public School District,64.25,64.11,Dassel-Cokato Public School District,-0.102651354,-7.24,0.015168273,0.96,-0.089040125,-6.28,-0.06207086,-4.52,-0.061346999,-4.19,-0.119609997,-8.71,Dassel-Cokato Public School District,2250,92.53%,23.87%,Dassel-Cokato Public School District,2147,93.15%,13.32%,Dassel-Cokato Public School District,2020,91.83%,28.91%
1,473,34.21,54.24,Isle Public School District,44.44,43.6,Isle Public School District,37.44,39.61,Isle Public School District,0.29903537,10.23,-0.157515752,-7,0.094416837,3.23,-0.196165192,-10.64,-0.091513761,-3.99,-0.269727139,-14.63,Isle Public School District,432,77.78%,56.25%,Isle Public School District,434,78.34%,51.84%,Isle Public School District,394,79.70%,51.27%
1,477,59.78,63.47,Princeton Public School District,43.41,50.83,Princeton Public School District,46.16,48.77,Princeton Public School District,-0.273837404,-16.37,0.063349459,2.75,-0.227835396,-13.62,-0.199149204,-12.64,-0.040527248,-2.06,-0.231605483,-14.7,Princeton Public School District,3453,92.64%,30.84%,Princeton Public School District,3234,91.56%,24.98%,Princeton Public School District,3291,89.21%,34.24%
1,480,30.03,36.3,Onamia Public School District,20.1,34.58,Onamia Public School District,13.51,25.23,Onamia Public School District,-0.330669331,-9.93,-0.327860697,-6.59,-0.55011655,-16.52,-0.04738292,-1.72,-0.270387507,-9.35,-0.304958678,-11.07,Onamia Public School District,646,41.02%,68.73%,Onamia Public School District,561,39.22%,55.44%,Onamia Public School District,556,39.21%,80.58%
1,482,42.26,48.11,Little Falls Public School District,33.45,37.52,Little Falls Community Schools,36.33,41.53,Little Falls Community Schools,-0.208471368,-8.81,0.086098655,2.88,-0.140321817,-5.93,-0.220120557,-10.59,0.106876333,4.01,-0.136769902,-6.58,Little Falls Public School District,2536,88.37%,45.78%,Little Falls Public School District,2440,90.20%,38.69%,Little Falls Community Schools,2424,89.81%,42.04%
1,484,63.73,60.78,Pierz Public School District,55.38,51.69,Pierz Public School District,65.35,64.19,Pierz Public School District,-0.131021497,-8.35,0.180028891,9.97,0.02541974,1.62,-0.149555775,-9.09,0.241826272,12.5,0.056103982,3.41,Perz Public School District,1195,96.82%,34.31%,Pierz Public School District,1249,95.44%,24.82%,Pierz Public School District,1214,95.22%,27.51%
1,485,52.92,52.71,Royalton Public School District,51.95,52.92,Royalton Public School District,48.25,49.15,Royalton Public School District,-0.018329554,-0.97,-0.071222329,-3.7,-0.08824641,-4.67,0.003984064,0.21,-0.071239607,-3.77,-0.067539366,-3.56,Royalton Public School District,954,93.50%,28.09%,Royalton Public School District,932,94.31%,20.28%,Royalton Public School District,938,93.92%,27.83%
1,486,44.94,52.75,Swanville Public School District,27.66,37.06,Swanville Public School District,31.67,32.43,Swanville Public School District,-0.384512684,-17.28,0.144974693,4.01,-0.295282599,-13.27,-0.297440758,-15.69,-0.124932542,-4.63,-0.38521327,-20.32,Swanville Public School District,329,94.53%,39.51%,Swanville Public School District,350,91.14%,34.29%,Swanville Public School District,367,90.46%,40.33%
1,487,38.71,54.12,Upsala Public School District,38.04,47.4,Upsala Public School District,44.51,53.8,Upsala Public School District,-0.017308189,-0.67,0.170084122,6.47,0.149832085,5.8,-0.124168514,-6.72,0.135021097,6.4,-0.005912786,-0.32,Upsala Public School District,380,95.79%,30.53%,Upsala Public School District,363,96.14%,23.14%,Upsala Public School District,327,97.86%,29.36%
1,492,37.09,43.56,Austin Public School District,27.45,35.5,Austin Public School District,24.08,32.12,Austin Public School District,-0.259908331,-9.64,-0.12276867,-3.37,-0.350768401,-13.01,-0.18503214,-8.06,-0.095211268,-3.38,-0.262626263,-11.44,Austin Public School District,5293,49.25%,55.41%,Austin Public School District,5182,44.71%,50.77%,Austin Public School District,5385,38.57%,59.07%
1,495,41.67,53.16,Grand Meadow Public School District,26.14,40.52,Grand Meadow Public School District,36.52,56.83,Grand Meadow Public School District,-0.372690185,-15.53,0.397092578,10.38,-0.123590113,-5.15,-0.237772761,-12.64,0.402517275,16.31,0.06903687,3.67,Grand Meadow Public School District,438,91.32%,27.40%,Grand Meadow Public School District,466,90.56%,15.67%,Grand Meadow Public School District,443,92.55%,25.96%
1,497,25.37,40,Lyle Public School District,19.59,32.43,Lyle Public School District,13.91,32.68,Lyle Public School District,-0.227828143,-5.78,-0.289943849,-5.68,-0.451714624,-11.46,-0.18925,-7.57,0.007708912,0.25,-0.183,-7.32,Lyle Public School District,284,79.23%,51.06%,Lyle Public School District,306,73.86%,54.90%,Lyle Public School District,306,79.74%,54.25%
1,499,47.68,63.4,LeRoy-Ostrander Public Schools,31.58,45.86,LeRoy-Ostrander Public Schools,26.77,32.54,LeRoy-Ostrander Public Schools,-0.337667785,-16.1,-0.15231159,-4.81,-0.438548658,-20.91,-0.276656151,-17.54,-0.290449193,-13.32,-0.486750789,-30.86,Leroy-Ostrander Public Schools,266,89.85%,37.22%,LeRoy-Ostrander Public Schools,250,90.00%,19.20%,LeRoy-Ostrander Public Schools,258,87.98%,33.33%
1,500,51.72,57.08,Southland Public School District,47.2,55.26,Southland Public School District,37.7,52.51,Southland Public School District,-0.087393658,-4.52,-0.201271186,-9.5,-0.271075019,-14.02,-0.031885074,-1.82,-0.049764748,-2.75,-0.080063069,-4.57,Southland Public School District,382,91.36%,27.23%,Southland Public School District,410,90.98%,24.63%,Southland Public School District,520,87.88%,36.35%
1,505,57.69,54.75,Fulda Public School District,45.64,44.17,Fulda Public School District,43.39,50,Fulda Public School District,-0.208875022,-12.05,-0.049298861,-2.25,-0.247876582,-14.3,-0.193242009,-10.58,0.131990038,5.83,-0.086757991,-4.75,Fulda Public School District,346,80.92%,37.28%,Fulda Public School District,378,76.46%,38.36%,Fulda Public School District,336,75.30%,47.92%
1,507,52.86,55.96,Nicollet Public School District,37.7,51.74,Nicollet Public School District,55.63,55.63,Nicollet Public School District,-0.286795308,-15.16,0.475596817,17.93,0.052402573,2.77,-0.075411008,-4.22,0.07518361,3.89,-0.005897069,-0.33,Nicollet Public School District,391,90.28%,18.67%,Nicollet Public School District,362,90.06%,10.50%,Nicollet Public School District,314,92.68%,21.02%
1,508,59.2,59.06,St. Peter Public School District,51.56,50.97,St. Peter Public School District,49.66,56.17,St. Peter Public School District,-0.129054054,-7.64,-0.036850272,-1.9,-0.161148649,-9.54,-0.136979343,-8.09,0.102020797,5.2,-0.048933288,-2.89,St. Peter Public School District,2246,70.44%,35.93%,St. Peter Public School District,2094,69.63%,27.98%,St. Peter Public School District,2107,70.05%,38.21%
1,511,52.16,57.33,Adrian Public School District,44.73,53.44,Adrian Public School District,54,50.34,Adrian Public School District,-0.142446319,-7.43,0.207243461,9.27,0.035276074,1.84,-0.067852782,-3.89,-0.058008982,-3.1,-0.121925693,-6.99,Adrian Public School District,574,81.01%,40.24%,Adrian Public School District,589,79.97%,25.98%,Adrian Public School District,589,81.32%,36.67%
1,514,48.68,63.38,Ellsworth Public School District,30.56,46.84,Ellsworth Public School District,50.68,50.68,Ellsworth Public School District,-0.372226787,-18.12,0.658376963,20.12,0.041084634,2,-0.260965604,-16.54,0.081981213,3.84,-0.200378668,-12.7,Ellsworth Public School District,142,96.48%,46.48%,Ellsworth Public School District,146,90.41%,40.41%,Ellsworth Public School District,136,86.03%,39.71%
1,518,35.63,44.61,Worthington Public School District,27.23,36.04,Worthington Public School District,27.21,32.56,Worthington Public School District,-0.235756385,-8.4,-0.000734484,-0.02,-0.23631771,-8.42,-0.192109393,-8.57,-0.096559378,-3.48,-0.270118807,-12.05,Worthington Public School District,3904,34.20%,62.12%,Worthington Public School District,3797,25.76%,60.76%,Worthington Public School District,4064,27.78%,63.44%
1,531,74.3,76.32,Byron Public School District,64.23,65.59,Byron Public School District,64.42,68.46,Byron Public School District,-0.135531629,-10.07,0.002958119,0.19,-0.132974428,-9.88,-0.140592243,-10.73,0.04375667,2.87,-0.102987421,-7.86,Byron Public School District,2114,91.34%,10.55%,Byron Public School District,2278,89.77%,9.92%,Byron Public School District,2342,86.29%,15.71%
1,533,65.29,63.41,Dover-Eyota Public School District,49.05,52.71,Dover-Eyota Public School District,48,51.18,Dover-Eyota Public School District,-0.248736407,-16.24,-0.021406728,-1.05,-0.264818502,-17.29,-0.1687431,-10.7,-0.02902675,-1.53,-0.192871787,-12.23,Dover-Eyota Public School District,1101,93.46%,18.62%,Dover-Eyota Public School District,1082,92.42%,15.71%,Dover-Eyota Public School District,1057,91.01%,18.92%
1,534,59.7,61.57,Stewartville Public School District,46.47,49.59,Stewartville Public School District,48.76,51.57,Stewartville Public School District,-0.22160804,-13.23,0.049279105,2.29,-0.183249581,-10.94,-0.19457528,-11.98,0.039927405,1.98,-0.162416761,-10,Stewartville Public School District,2108,92.74%,21.20%,Stewartville Public School District,2058,91.35%,14.04%,Stewartville Public School District,1976,89.37%,23.58%
1,535,49.79,55.49,Rochester Public School District,39.83,49.47,Rochester Public School District,41.66,47.78,Rochester Public School District,-0.200040169,-9.96,0.045945267,1.83,-0.1632858,-8.13,-0.108488016,-6.02,-0.034162118,-1.69,-0.138943954,-7.71,Rochester Public School District,18015,59.20%,36.69%,Rochester Public School District,17617,54.57%,36.13%,Rochester Public School District,17171,51.94%,38.74%
1,542,70.48,71.67,Battle Lake Public School District,66.67,63.43,Battle Lake Public School District,64,62.8,Battle Lake Public School District,-0.054057889,-3.81,-0.040047998,-2.67,-0.091940976,-6.48,-0.114971397,-8.24,-0.009932209,-0.63,-0.123761686,-8.87,Battle Lake Public School District,428,89.02%,29.44%,Battle Lake Public School District,404,88.37%,30.20%,Battle Lake Public School District,414,86.96%,32.13%
1,544,58.98,65,Fergus Falls Public School District,54.19,59.66,Fergus Falls Public School District,52.91,58.67,Fergus Falls Public School District,-0.081213971,-4.79,-0.023620594,-1.28,-0.102916243,-6.07,-0.082153846,-5.34,-0.016594033,-0.99,-0.097384615,-6.33,Fergus Falls Public School District,2890,86.40%,34.39%,Fergus Falls Public School District,2993,83.19%,27.53%,Fergus Falls Public School District,3235,80.22%,40.96%
1,545,59.9,65.45,Henning Public School District,46.94,55.26,Henning Public School District,47.21,54.59,Henning Public School District,-0.216360601,-12.96,0.005752024,0.27,-0.211853088,-12.69,-0.155691367,-10.19,-0.012124502,-0.67,-0.165928189,-10.86,Henning Public School District,368,94.29%,39.13%,Henning Public School District,377,90.45%,31.03%,Henning Public School District,381,92.13%,43.83%
1,547,55.56,64.69,Parkers Prairie Public School Dist.,49.82,44.88,Parkers Prairie Public School Dist.,43.96,46.67,Parkers Prairie Public School District,-0.103311735,-5.74,-0.117623444,-5.86,-0.208783297,-11.6,-0.306229711,-19.81,0.039884135,1.79,-0.278559283,-18.02,Parkers Prairie Public School District,552,95.83%,25.72%,Parkers Prairie Public School Dist.,544,96.32%,20.59%,Parkers Prairie Public School District,531,96.42%,30.51%
1,548,56.14,56.83,Pelican Rapids Public School Dist.,43.86,48.16,Pelican Rapids Public School District,47.5,50,Pelican Rapids Public School District,-0.218738867,-12.28,0.082991336,3.64,-0.153900962,-8.64,-0.152560267,-8.67,0.03820598,1.84,-0.120183002,-6.83,Pelican Rapids Public School District,890,53.03%,54.49%,Pelican Rapids Public School District,867,53.17%,49.94%,Pelican Rapids Public School District,842,51.07%,57.96%
1,549,59.08,61.98,Perham-Dent Public School District,46.78,56.7,Perham-Dent Public School District,46.34,54.58,Perham-Dent Public School District,-0.208192282,-12.3,-0.009405729,-0.44,-0.21563981,-12.74,-0.085188771,-5.28,-0.037389771,-2.12,-0.119393353,-7.4,Perham-Dent Public School District,1527,81.53%,36.08%,Perham-Dent Public School District,1572,80.53%,22.07%,Perham-Dent Public School District,1671,80.73%,34.71%
1,550,56.25,59.62,Underwood Public School District,42.39,43.37,Underwood Public School District,47.46,49.3,Underwood Public School District,-0.2464,-13.86,0.11960368,5.07,-0.156266667,-8.79,-0.272559544,-16.25,0.136730459,5.93,-0.173096276,-10.32,Underwood Public School District,567,93.65%,36.16%,Underwood Public School District,581,92.94%,26.51%,Underwood Public School District,554,92.78%,33.57%
1,553,55.96,59.9,New York Mills Public School Dist.,53,48.68,New York Mills Public School Dist.,63.12,57.11,New York Mills Public School District,-0.052894925,-2.96,0.190943396,10.12,0.127948535,7.16,-0.187312187,-11.22,0.173171734,8.43,-0.046577629,-2.79,New York Mills Public School District,744,94.49%,35.35%,New York Mills Public School Dist.,785,93.63%,29.04%,New York Mills Public School District,822,93.19%,43.31%
1,561,48.36,47.5,Goodridge Public School District,25.85,37.93,Goodridge Public School District,32.84,32.14,Goodridge Public School District,-0.465467328,-22.51,0.27040619,6.99,-0.320926385,-15.52,-0.201473684,-9.57,-0.152649618,-5.79,-0.323368421,-15.36,Goodridge Public School District,250,88.40%,48.40%,Goodridge Public School District,268,88.43%,43.28%,Goodridge Public School District,275,89.82%,39.64%
1,564,58.36,60.45,Thief River Falls School District,40.97,47.93,Thief River Falls School District,39.92,44.76,Thief River Falls School District,-0.297978067,-17.39,-0.025628509,-1.05,-0.315969842,-18.44,-0.207113317,-12.52,-0.066138118,-3.17,-0.25955335,-15.69,Thief River Falls School District,2020,83.12%,35.05%,Thief River Falls School District,1853,83.05%,29.57%,Thief River Falls School District,1725,80.70%,39.42%
1,577,45.69,58.26,Willow River Public School District,29.13,47.89,Willow River Public School District,36.32,48.89,Willow River Public School District,-0.362442548,-16.56,0.246824579,7.19,-0.205077698,-9.37,-0.177995194,-10.37,0.020881186,1,-0.160830759,-9.37,Willow River Public School District,415,95.18%,40.48%,Willow River Public School District,423,93.62%,33.10%,Willow River Public School District,436,91.51%,41.51%
1,578,48.81,55.74,Pine City Public School District,43.24,48.14,Pine City Public School District,39.7,42.61,Pine City Public School District,-0.11411596,-5.57,-0.08186864,-3.54,-0.186642082,-9.11,-0.136347327,-7.6,-0.114873286,-5.53,-0.235557948,-13.13,Pine City Public School District,1594,90.15%,33.94%,Pine City Public School District,1572,88.10%,18.96%,Pine City Public School District,1582,86.60%,40.08%
1,581,50.98,52.97,Edgerton Public School District,33.93,37.33,Edgerton Public School District,39.9,38.5,Edgerton Public School District,-0.33444488,-17.05,0.175950486,5.97,-0.217340133,-11.08,-0.295261469,-15.64,0.031342084,1.17,-0.273173494,-14.47,Edgerton Public School District,427,74.47%,44.96%,Edgerton Public School District,444,69.14%,43.24%,Edgerton Public School District,437,71.17%,40.96%
1,592,32.52,50.41,Climax-Shelly Public Schools,26.92,44.34,Climax-Shelly Public Schools,12.22,20.99,Climax-Shelly Public Schools,-0.172201722,-5.6,-0.546062407,-14.7,-0.624231242,-20.3,-0.120412617,-6.07,-0.526612539,-23.35,-0.583614362,-29.42,Climax-Shelly Public Schools,222,76.58%,63.51%,Climax-Shelly Public Schools,186,73.66%,61.83%,Climax-Shelly Public Schools,159,68.55%,64.78%
1,593,56.16,55.86,Crookston Public School District,42.1,44.96,Crookston Public School District,41.4,49.33,Crookston Public School District,-0.250356125,-14.06,-0.016627078,-0.7,-0.262820513,-14.76,-0.195130684,-10.9,0.097197509,4.37,-0.116899391,-6.53,Crookston Public School District,1191,66.41%,49.45%,Crookston Public School District,1158,61.14%,50.43%,Crookston Public School District,1140,60.53%,55.53%
1,595,51.6,53.87,East Grand Forks Public School Dist,44.39,52.06,East Grand Forks Public Schools,43.1,46.37,East Grand Forks Public Schools,-0.139728682,-7.21,-0.029060599,-1.29,-0.164728682,-8.5,-0.033599406,-1.81,-0.109296965,-5.69,-0.139224058,-7.5,East Grand Forks Public School District,1965,73.08%,33.33%,East Grand Forks Public School Dist,1949,73.11%,29.96%,East Grand Forks Public Schools,2005,73.17%,33.72%
1,599,64.36,71.21,Fertile-Beltrami School District,54.26,60.69,Fertile-Beltrami School District,51.42,53.31,Fertile-Beltrami School District,-0.15692977,-10.1,-0.052340582,-2.84,-0.201056557,-12.94,-0.14773206,-10.52,-0.121601582,-7.38,-0.25136919,-17.9,Fertile-Beltrami School District,476,93.49%,26.89%,Fertile-Beltrami School District,488,93.85%,24.18%,Fertile-Beltrami School District,495,92.93%,36.97%
1,600,39.86,41.55,Fisher Public School District,29.25,47.75,Fisher Public School District,27.43,37.61,Fisher Public School District,-0.266181636,-10.61,-0.062222222,-1.82,-0.311841445,-12.43,0.14921781,6.2,-0.212356021,-10.14,-0.094825511,-3.94,Fisher Public School District,274,82.48%,43.43%,Fisher Public School District,229,80.79%,36.24%,Fisher Public School District,222,74.32%,48.20%
1,601,60.49,66.16,Fosston Public School District,57.09,59.21,Fosston Public School District,47.72,56.74,Fosston Public School District,-0.056207638,-3.4,-0.164126817,-9.37,-0.211109274,-12.77,-0.105048368,-6.95,-0.041715926,-2.47,-0.142382104,-9.42,Fosston Public School District,614,84.36%,39.09%,Fosston Public School District,591,80.71%,38.24%,Fosston Public School District,596,81.38%,54.70%
1,621,66.91,67.58,Mounds View Public School District,54.61,59.84,Mounds View Public School District,55.82,56.49,Mounds View Public School District,-0.183829024,-12.3,0.022157114,1.21,-0.165745031,-11.09,-0.114530926,-7.74,-0.05598262,-3.35,-0.164101805,-11.09,Mounds View Public School District,11957,62.16%,29.89%,Mounds View Public School District,11747,58.88%,25.60%,Mounds View Public School District,11934,58.16%,33.44%
1,622,51.82,50.94,North St Paul-Maplewood Oakdale Public School District,29.85,36.54,North St. Paul-Maplewood Oakdale Public School District,32.45,35.74,North St. Paul-Maplewood Oakdale Public School District,-0.42396758,-21.97,0.087102178,2.6,-0.373793902,-19.37,-0.282685512,-14.4,-0.021893815,-0.8,-0.298390263,-15.2,North St. Paul-Maplewood Oakdale Public School District,10808,36.20%,56.31%,North St. Paul-Maplewood Oakdale Public School District,10450,30.56%,54.19%,North St. Paul-Maplewood Oakdale Public School District,10754,24.25%,64.03%
1,623,49.07,56.35,Roseville Public School District,37.45,50.04,Roseville Public School District,37.78,45.45,Roseville Public School District,-0.236804565,-11.62,0.008811749,0.33,-0.230079478,-11.29,-0.111978705,-6.31,-0.091726619,-4.59,-0.193433895,-10.9,Roseville Public School District,7655,43.66%,44.72%,Roseville Public School District,7379,40.01%,37.31%,Roseville Public School District,7256,37.57%,48.64%
1,624,62.67,65.07,White Bear Lake School District,48.25,55.22,White Bear Lake School District,48.75,52.7,White Bear Lake School District,-0.230094144,-14.42,0.010362694,0.5,-0.222115845,-13.92,-0.151375442,-9.85,-0.045635639,-2.52,-0.190102966,-12.37,White Bear Lake School District,8860,72.96%,26.31%,White Bear Lake School District,8481,71.42%,22.24%,White Bear Lake School District,8571,67.32%,30.43%
1,625,32.12,39.53,St. Paul Public School District,25.21,34.75,Saint Paul Public Schools,26.55,34.82,Saint Paul Public Schools,-0.21513076,-6.91,0.053153511,1.34,-0.173412204,-5.57,-0.12092082,-4.78,0.002014388,0.07,-0.119150013,-4.71,St. Paul Public School District,36888,20.82%,65.71%,St. Paul Public School District,33475,21.75%,61.47%,Saint Paul Public Schools,33041,22.14%,66.29%
